# PWV uflux gflux rflux iflux zflux yflux
0.000000000000000000e+00 1.017523475753077248e+18 2.369321677475192422e+19 5.584753609495228416e+19 1.127685672842376151e+20 1.220789021599669780e+20 8.274964649111114547e+19
5.000000000000000000e-01 1.017523180036123264e+18 2.369285607284526285e+19 5.583733812663360717e+19 1.125851828186574520e+20 1.214546369966165524e+20 8.024832528869323571e+19
1.000000000000000000e+00 1.017522884331078016e+18 2.369249550675655885e+19 5.582718720037551309e+19 1.124099117232089825e+20 1.209029623086882161e+20 7.852821060835608166e+19
1.500000000000000000e+00 1.017522588637941120e+18 2.369213507633167155e+19 5.581708266416502374e+19 1.122418376252887040e+20 1.203990710945606205e+20 7.714563945953555251e+19
2.000000000000000000e+00 1.017522292956711168e+18 2.369177478141675110e+19 5.580702388020134707e+19 1.120801832645222072e+20 1.199319127733624504e+20 7.596314086771885670e+19
2.500000000000000000e+00 1.017521997287387520e+18 2.369141462185819341e+19 5.579701022450516787e+19 1.119242862946615132e+20 1.194947183891072614e+20 7.491800429207258726e+19
3.000000000000000000e+00 1.017521701629969152e+18 2.369105459750269338e+19 5.578704108654044774e+19 1.117735796273311252e+20 1.190827522293631713e+20 7.397519645661683712e+19
3.500000000000000000e+00 1.017521405984455424e+18 2.369069470819718758e+19 5.577711586884771021e+19 1.116275754239142134e+20 1.186924663806831657e+20 7.311268310015696077e+19
4.000000000000000000e+00 1.017521110350845312e+18 2.369033495378891162e+19 5.576723398668902400e+19 1.114858520233482322e+20 1.183210910034230804e+20 7.231547990627132211e+19
4.500000000000000000e+00 1.017520814729138048e+18 2.368997533412535501e+19 5.575739486770375066e+19 1.113480432373981348e+20 1.179664030405862687e+20 7.157281502360785715e+19
5.000000000000000000e+00 1.017520519119332480e+18 2.368961584905426534e+19 5.574759795157516288e+19 1.112138295590557942e+20 1.176265818482470748e+20 7.087661718358459187e+19
5.500000000000000000e+00 1.017520223521428096e+18 2.368925649842368102e+19 5.573784268970709811e+19 1.110829309203162563e+20 1.173001126582791864e+20 7.022064170547115622e+19
6.000000000000000000e+00 1.017519927935423872e+18 2.368889728208188211e+19 5.572812854491093402e+19 1.109551007076308091e+20 1.169857188233809592e+20 6.959993239808344883e+19
6.500000000000000000e+00 1.017519632361318784e+18 2.368853819987743949e+19 5.571845499110172262e+19 1.108301208007038075e+20 1.166823125614358036e+20 6.901047322930757632e+19
7.000000000000000000e+00 1.017519336799111936e+18 2.368817925165917389e+19 5.570882151300395008e+19 1.107077974460405678e+20 1.163889581855072092e+20 6.844895346114639462e+19
7.500000000000000000e+00 1.017519041248802432e+18 2.368782043727619686e+19 5.569922760586621747e+19 1.105879578131724534e+20 1.161048440764661105e+20 6.791260386225004544e+19
8.000000000000000000e+00 1.017518745710389888e+18 2.368746175657782477e+19 5.568967277518442496e+19 1.104704471106896364e+20 1.158292609535417876e+20 6.739907920707552870e+19
8.500000000000000000e+00 1.017518450183872768e+18 2.368710320941371802e+19 5.568015653643363123e+19 1.103551261625979044e+20 1.155615847850870702e+20 6.690637192177786880e+19
9.000000000000000000e+00 1.017518154669250560e+18 2.368674479563375002e+19 5.567067841480786739e+19 1.102418693642768056e+20 1.153012631817666560e+20 6.643274728491260314e+19
9.500000000000000000e+00 1.017517859166522240e+18 2.368638651508806042e+19 5.566123794496772506e+19 1.101305629523920650e+20 1.150478044440564859e+20 6.597669391140814848e+19
1.000000000000000000e+01 1.017517563675687168e+18 2.368602836762706739e+19 5.565183467079579238e+19 1.100211035352477860e+20 1.148007686600253768e+20 6.553688530563262054e+19
1.050000000000000000e+01 1.017517268196744192e+18 2.368567035310143898e+19 5.564246814515920077e+19 1.099133968398511145e+20 1.145597604054795878e+20 6.511214958318640333e+19
1.100000000000000000e+01 1.017516972729692416e+18 2.368531247136211763e+19 5.563313792967929037e+19 1.098073566398682890e+20 1.143244227095667507e+20 6.470144532250961510e+19
1.150000000000000000e+01 1.017516677274530944e+18 2.368495472226029568e+19 5.562384359450835354e+19 1.097029038350516060e+20 1.140944320292631675e+20 6.430384208562158797e+19
1.200000000000000000e+01 1.017516381831259264e+18 2.368459710564742349e+19 5.561458471811276800e+19 1.095999656579113779e+20 1.138694940351677235e+20 6.391850454362087424e+19
1.250000000000000000e+01 1.017516086399876096e+18 2.368423962137522995e+19 5.560536088706270003e+19 1.094984749876276593e+20 1.136493400549279171e+20 6.354467941935358771e+19
1.300000000000000000e+01 1.017515790980380800e+18 2.368388226929568154e+19 5.559617169582800896e+19 1.093983697546384015e+20 1.134337240536809964e+20 6.318168465627655373e+19
1.350000000000000000e+01 1.017515495572772480e+18 2.368352504926100685e+19 5.558701674658011546e+19 1.092995924221497508e+20 1.132224200560368681e+20 6.282890036439381606e+19
1.400000000000000000e+01 1.017515200177049856e+18 2.368316796112370074e+19 5.557789564899970253e+19 1.092020895331141059e+20 1.130152199334484378e+20 6.248576119794905907e+19
1.450000000000000000e+01 1.017514904793213056e+18 2.368281100473652429e+19 5.556880802009021645e+19 1.091058113131102372e+20 1.128119314957792707e+20 6.215174989651056230e+19
1.500000000000000000e+01 1.017514609421259648e+18 2.368245417995246797e+19 5.555975348399646310e+19 1.090107113211114947e+20 1.126123768375711498e+20 6.182639177882432307e+19
1.550000000000000000e+01 1.017514314061189888e+18 2.368209748662479667e+19 5.555073167182885683e+19 1.089167461414100009e+20 1.124163908987155907e+20 6.150925002261511373e+19
1.600000000000000000e+01 1.017514018713002624e+18 2.368174092460704563e+19 5.554174222149254349e+19 1.088238751110223790e+20 1.122238202065274143e+20 6.119992159709020160e+19
1.650000000000000000e+01 1.017513723376696960e+18 2.368138449375296717e+19 5.553278477752148787e+19 1.087320600777825812e+20 1.120345217720384389e+20 6.089803374088339456e+19
1.700000000000000000e+01 1.017513428052272256e+18 2.368102819391660032e+19 5.552385899091753370e+19 1.086412651850552443e+20 1.118483621180028682e+20 6.060324089846104064e+19
1.750000000000000000e+01 1.017513132739727232e+18 2.368067202495223808e+19 5.551496451899373158e+19 1.085514566796135629e+20 1.116652164198798950e+20 6.031522204398156186e+19
1.800000000000000000e+01 1.017512837439061248e+18 2.368031598671440691e+19 5.550610102522257408e+19 1.084626027397326111e+20 1.114849677441249444e+20 6.003367833426795725e+19
1.850000000000000000e+01 1.017512542150273408e+18 2.367996007905788723e+19 5.549726817908817920e+19 1.083746733209763840e+20 1.113075063706239468e+20 5.975833104267668685e+19
1.900000000000000000e+01 1.017512246873362560e+18 2.367960430183774208e+19 5.548846565594306150e+19 1.082876400175152005e+20 1.111327291881605857e+20 5.948891973379011379e+19
1.950000000000000000e+01 1.017511951608328192e+18 2.367924865490925568e+19 5.547969313686854861e+19 1.082014759371115397e+20 1.109605391534985544e+20 5.922520064545459405e+19
