# PWV uflux gflux rflux iflux zflux yflux
0.000000000000000000e+00 3.771754573970744320e+17 8.819024386608257024e+18 2.181018043220588954e+19 6.160916246301087334e+19 7.658989511509177139e+19 5.595526055210219110e+19
5.000000000000000000e-01 3.771753343241911680e+17 8.818887839754306560e+18 2.180601062335311462e+19 6.150896893402261094e+19 7.618377404527586509e+19 5.427549248058032947e+19
1.000000000000000000e+00 3.771752112562913280e+17 8.818751344070641664e+18 2.180186113545653453e+19 6.141331380062953472e+19 7.582498471696415130e+19 5.311728001117629645e+19
1.500000000000000000e+00 3.771750881933742720e+17 8.818614899499573248e+18 2.179773167609828557e+19 6.132167191486007706e+19 7.549732201891938304e+19 5.218495286665619046e+19
2.000000000000000000e+00 3.771749651354396800e+17 8.818478505983513600e+18 2.179362195935640371e+19 6.123359953864309965e+19 7.519358142019551232e+19 5.138675310368059392e+19
2.500000000000000000e+00 3.771748420824874240e+17 8.818342163464976384e+18 2.178953170562489549e+19 6.114871992869308826e+19 7.490935268899368141e+19 5.068077267279428813e+19
3.000000000000000000e+00 3.771747190345168640e+17 8.818205871886575616e+18 2.178546064143941222e+19 6.106671166717068083e+19 7.464155106505496986e+19 5.004357190629663539e+19
3.500000000000000000e+00 3.771745959915279360e+17 8.818069631191026688e+18 2.178140849930847027e+19 6.098729919131378483e+19 7.438786578816696320e+19 4.946039167795739853e+19
4.000000000000000000e+00 3.771744729535198080e+17 8.817933441321145344e+18 2.177737501754987315e+19 6.091024508734842470e+19 7.414649302335230771e+19 4.892118471900214067e+19
4.500000000000000000e+00 3.771743499204926080e+17 8.817797302219847680e+18 2.177335994013221274e+19 6.083534380264410317e+19 7.391598513892456858e+19 4.841872164771627008e+19
5.000000000000000000e+00 3.771742268924456320e+17 8.817661213830150144e+18 2.176936301652133478e+19 6.076241650025958605e+19 7.369515663821707674e+19 4.794758115150027162e+19
5.500000000000000000e+00 3.771741038693787520e+17 8.817525176095168512e+18 2.176538400153152307e+19 6.069130683564083610e+19 7.348302126123640422e+19 4.750356582071919411e+19
6.000000000000000000e+00 3.771739808512912640e+17 8.817389188958119936e+18 2.176142265518126285e+19 6.062187747935630131e+19 7.327874784087112909e+19 4.708334223927374643e+19
6.500000000000000000e+00 3.771738578381831680e+17 8.817253252362314752e+18 2.175747874255350579e+19 6.055400724480441549e+19 7.308162821296315597e+19 4.668420784304090317e+19
7.000000000000000000e+00 3.771737348300539520e+17 8.817117366251171840e+18 2.175355203366016205e+19 6.048758870770307072e+19 7.289105326172929229e+19 4.630393361923162931e+19
7.500000000000000000e+00 3.771736118269030400e+17 8.816981530568201216e+18 2.174964230331076608e+19 6.042252622637100237e+19 7.270649466162293965e+19 4.594065434190853734e+19
8.000000000000000000e+00 3.771734888287304320e+17 8.816845745257018368e+18 2.174574933098517299e+19 6.035873428951596237e+19 7.252749072267310694e+19 4.559278978133373747e+19
