# PWV uflux gflux rflux iflux zflux yflux
0.000000000000000000e+00 9.638663131298183168e+18 2.302184379971065938e+20 4.387150830494704599e+20 4.412199185194220913e+20 3.423894016406483763e+20 2.011532580934750044e+20
5.000000000000000000e-01 9.638660381143175168e+18 2.302151383913890775e+20 4.386395464693135442e+20 4.404670189553804902e+20 3.407218975781149082e+20 1.949221132336617554e+20
1.000000000000000000e+00 9.638657631097577472e+18 2.302118400629894021e+20 4.385643266220804669e+20 4.397463345240849777e+20 3.392451217079173775e+20 1.906477653453843661e+20
1.500000000000000000e+00 9.638654881161383936e+18 2.302085430104162632e+20 4.384894194328634655e+20 4.390543952377067602e+20 3.378948137835025531e+20 1.872170458075192689e+20
2.000000000000000000e+00 9.638652131334586368e+18 2.302052472321806500e+20 4.384148209121983857e+20 4.383882343660877906e+20 3.366420812348906537e+20 1.842855641706554982e+20
2.500000000000000000e+00 9.638649381617176576e+18 2.302019527267965010e+20 4.383405271537550623e+20 4.377453044753277911e+20 3.354691164224694518e+20 1.816963975139931587e+20
3.000000000000000000e+00 9.638646632009142272e+18 2.301986594927803105e+20 4.382665343320978883e+20 4.371234086589946921e+20 3.343634087464808612e+20 1.793619746571025449e+20
3.500000000000000000e+00 9.638643882510483456e+18 2.301953675286512271e+20 4.381928387005185393e+20 4.365206440639791104e+20 3.333155579822232699e+20 1.772272728377920717e+20
4.000000000000000000e+00 9.638641133121185792e+18 2.301920768329309553e+20 4.381194365889320059e+20 4.359353553864628634e+20 3.323182096843214029e+20 1.752549080830956012e+20
4.500000000000000000e+00 9.638638383841245184e+18 2.301887874041440502e+20 4.380463244018420285e+20 4.353660964703763169e+20 3.313654516568946770e+20 1.734180276929454735e+20
5.000000000000000000e+00 9.638635634670649344e+18 2.301854992408177213e+20 4.379734986163647283e+20 4.348115985052487516e+20 3.304524358230567158e+20 1.716965254421087846e+20
5.500000000000000000e+00 9.638632885609394176e+18 2.301822123414814392e+20 4.379009557803156767e+20 4.342707436115769426e+20 3.295751245701656740e+20 1.700748550088585380e+20
6.000000000000000000e+00 9.638630136657469440e+18 2.301789267046678200e+20 4.378286925103543091e+20 4.337425428348372910e+20 3.287301122473213952e+20 1.685406845832186429e+20
6.500000000000000000e+00 9.638627387814864896e+18 2.301756423289117737e+20 4.377567054901852897e+20 4.332261177559511859e+20 3.279144951119625585e+20 1.670840264647493222e+20
7.000000000000000000e+00 9.638624639081582592e+18 2.301723592127508316e+20 4.376849914688145981e+20 4.327206850758288998e+20 3.271257740629578220e+20 1.656966505187738911e+20
7.500000000000000000e+00 9.638621890457600000e+18 2.301690773547253432e+20 4.376135472588573245e+20 4.322255436520319222e+20 3.263617803843205857e+20 1.643716753579534582e+20
8.000000000000000000e+00 9.638619141942919168e+18 2.301657967533780828e+20 4.375423697348983521e+20 4.317400635625394012e+20 3.256206180981264220e+20 1.631032752038602670e+20
8.500000000000000000e+00 9.638616393537529856e+18 2.301625174072545116e+20 4.374714558319019950e+20 4.312636768497965466e+20 3.249006185759216763e+20 1.618864645537042924e+20
9.000000000000000000e+00 9.638613645241423872e+18 2.301592393149026140e+20 4.374008025436679700e+20 4.307958696613849989e+20 3.242003043637084160e+20 1.607169366668840468e+20
9.500000000000000000e+00 9.638610897054590976e+18 2.301559624748731269e+20 4.373304069213352755e+20 4.303361755547973714e+20 3.235183600386704015e+20 1.595909401955264102e+20
1.000000000000000000e+01 9.638608148977027072e+18 2.301526868857192120e+20 4.372602660719301755e+20 4.298841697752528978e+20 3.228536085036259738e+20 1.585051834299430011e+20
1.050000000000000000e+01 9.638605401008721920e+18 2.301494125459965870e+20 4.371903771569571758e+20 4.294394643491894723e+20 3.222049915354924319e+20 1.574567589153369293e+20
1.100000000000000000e+01 9.638602653149665280e+18 2.301461394542637220e+20 4.371207373910325985e+20 4.290017038635015864e+20 3.215715536963011215e+20 1.564430833495230710e+20
