# PWV uflux gflux rflux iflux zflux yflux
0.000000000000000000e+00 3.237552530227812762e+19 5.317854278864919593e+20 7.970747793818088899e+20 7.202353706836637778e+20 5.249210292046080246e+20 2.962468376616396390e+20
5.000000000000000000e-01 3.237551664101237555e+19 5.317776022429521019e+20 7.969370534372575805e+20 7.190061299499479859e+20 5.223928127084553175e+20 2.870440629187331359e+20
1.000000000000000000e+00 3.237550798009666355e+19 5.317697797903602811e+20 7.967998956132735386e+20 7.178291964255428936e+20 5.201514283234261074e+20 2.807321007881904456e+20
1.500000000000000000e+00 3.237549931953097523e+19 5.317619605248795607e+20 7.966632987353676513e+20 7.166989633285572526e+20 5.181009578630131876e+20 2.756662959312717087e+20
2.000000000000000000e+00 3.237549065931526144e+19 5.317541444426800169e+20 7.965272557777560535e+20 7.156106333554001838e+20 5.161980705938503107e+20 2.713378838880287457e+20
2.500000000000000000e+00 3.237548199944953446e+19 5.317463315399388037e+20 7.963917598593632174e+20 7.145600842114522153e+20 5.144159698479118418e+20 2.675150541878298214e+20
3.000000000000000000e+00 3.237547333993372467e+19 5.317385218128402186e+20 7.962568042399475958e+20 7.135437583776466862e+20 5.127357866164155843e+20 2.640684501616594125e+20
3.500000000000000000e+00 3.237546468076782797e+19 5.317307152575753093e+20 7.961223823163478508e+20 7.125585725061293670e+20 5.111433205508785439e+20 2.609167979986155602e+20
4.000000000000000000e+00 3.237545602195182387e+19 5.317229118703418081e+20 7.959884876188448195e+20 7.116018427470219837e+20 5.096274491765187543e+20 2.580048803220476723e+20
4.500000000000000000e+00 3.237544736348567552e+19 5.317151116473448530e+20 7.958551138076346286e+20 7.106712230329206702e+20 5.081792237942844293e+20 2.552930362363937751e+20
5.000000000000000000e+00 3.237543870536935834e+19 5.317073145847962665e+20 7.957222546694120407e+20 7.097646539262585733e+20 5.067913017782998794e+20 2.527515701817203098e+20
5.500000000000000000e+00 3.237543004760283955e+19 5.316995206789148180e+20 7.955899041140540703e+20 7.088803200971436196e+20 5.054575650460916122e+20 2.503575218888011612e+20
6.000000000000000000e+00 3.237542139018611098e+19 5.316917299259260928e+20 7.954580561714101617e+20 7.080166148695579689e+20 5.041728511597103022e+20 2.480926790029331661e+20
6.500000000000000000e+00 3.237541273311912755e+19 5.316839423220623606e+20 7.953267049881851658e+20 7.071721105707009311e+20 5.029327571696363110e+20 2.459422913885735158e+20
7.000000000000000000e+00 3.237540407640186880e+19 5.316761578635629036e+20 7.951958448249206211e+20 7.063455336566937354e+20 5.017334927622838682e+20 2.438942047538776310e+20
7.500000000000000000e+00 3.237539542003431834e+19 5.316683765466741473e+20 7.950654700530635899e+20 7.055357437796374282e+20 5.005717680562912625e+20 2.419382568064303759e+20
8.000000000000000000e+00 3.237538676401642701e+19 5.316605983676490056e+20 7.949355751521265910e+20 7.047417161155562701e+20 4.994447064364557926e+20 2.400658442837398979e+20
8.500000000000000000e+00 3.237537810834819891e+19 5.316528233227470766e+20 7.948061547069319414e+20 7.039625263974784696e+20 4.983497758842180731e+20 2.382696049093164401e+20
