# PWV zflux iflux rflux
0.000000000000000000e+00 2.184693695396638228e+20 1.514540332539983954e+20 3.954772812222516429e+19
5.000000000000000000e-01 2.140914708617280553e+20 1.511326832100069540e+20 3.953023466505135718e+19
1.000000000000000000e+00 2.111107017609243197e+20 1.508347104323938222e+20 3.951308721219764224e+19
1.500000000000000000e+00 2.086776092778293166e+20 1.505561226624802816e+20 3.949625225070338048e+19
2.000000000000000000e+00 2.065716887451828879e+20 1.502938248623450030e+20 3.947970187592842445e+19
2.500000000000000000e+00 2.046932921214438932e+20 1.500453881254653133e+20 3.946341265771265229e+19
3.000000000000000000e+00 2.029862338003408978e+20 1.498088831521882112e+20 3.944736475556160307e+19
3.500000000000000000e+00 2.014147258357915320e+20 1.495827592519671153e+20 3.943154122555738522e+19
4.000000000000000000e+00 1.999541371259631043e+20 1.493657556668077834e+20 3.941592747529053798e+19
4.500000000000000000e+00 1.985865826546941297e+20 1.491568360044887409e+20 3.940051083340519834e+19
5.000000000000000000e+00 1.972985545131456922e+20 1.489551393181386998e+20 3.938528020816400384e+19
5.500000000000000000e+00 1.960795373110734684e+20 1.487599432687908291e+20 3.937022581537695334e+19
6.000000000000000000e+00 1.949211460226395013e+20 1.485706361281043169e+20 3.935533896056206950e+19
6.500000000000000000e+00 1.938165620163206840e+20 1.483866953013122171e+20 3.934061186365783245e+19
7.000000000000000000e+00 1.927601492420522148e+20 1.482076706990698660e+20 3.932603751724588237e+19
7.500000000000000000e+00 1.917471843747365847e+20 1.480331717454828667e+20 3.931160957126624870e+19
8.000000000000000000e+00 1.907736618242399273e+20 1.478628571358695916e+20 3.929732223876138598e+19
8.500000000000000000e+00 1.898361495275921408e+20 1.476964266914102968e+20 3.928317021838110720e+19
9.000000000000000000e+00 1.889316801415178813e+20 1.475336148262252052e+20 3.926914863030582477e+19
9.500000000000000000e+00 1.880576675033748603e+20 1.473741852645961073e+20 3.925525296295790182e+19
1.000000000000000000e+01 1.872118415050273260e+20 1.472179267353276416e+20 3.924147902842866074e+19
1.050000000000000000e+01 1.863921966304047596e+20 1.470646494359334912e+20 3.922782292497760256e+19
1.100000000000000000e+01 1.855969507972789043e+20 1.469141821080125932e+20 3.921428100529940890e+19
1.150000000000000000e+01 1.848245120823392666e+20 1.467663696015151268e+20 3.920084984951672832e+19
1.200000000000000000e+01 1.840734515557944197e+20 1.466210708329070100e+20 3.918752624206512947e+19
1.250000000000000000e+01 1.833424809063126794e+20 1.464781570629183078e+20 3.917430715179861606e+19
1.300000000000000000e+01 1.826304338618924728e+20 1.463375104353218724e+20 3.916118971477417165e+19
1.350000000000000000e+01 1.819362506478282998e+20 1.461990227302916096e+20 3.914817121927570227e+19
1.400000000000000000e+01 1.812589648962081587e+20 1.460625942952405565e+20 3.913524909271914086e+19
1.450000000000000000e+01 1.805976925504406487e+20 1.459281331233206272e+20 3.912242089014605414e+19
1.500000000000000000e+01 1.799516224055641702e+20 1.457955540554616340e+20 3.910968428406478438e+19
1.550000000000000000e+01 1.793200079991569777e+20 1.456647780863274680e+20 3.909703705544058470e+19
1.600000000000000000e+01 1.787021606246384271e+20 1.455357317581243023e+20 3.908447708567006413e+19
1.650000000000000000e+01 1.780974432829636280e+20 1.454083466290453873e+20 3.907200234940231680e+19
1.700000000000000000e+01 1.775052654233300828e+20 1.452825588054147564e+20 3.905961090809305498e+19
1.750000000000000000e+01 1.769250783508115292e+20 1.451583085284382147e+20 3.904730090419389235e+19
1.800000000000000000e+01 1.763563712005452595e+20 1.450355398079603671e+20 3.903507055589702861e+19
1.850000000000000000e+01 1.757986673954622669e+20 1.449142000968490025e+20 3.902291815236520346e+19
1.900000000000000000e+01 1.752515215185371464e+20 1.447942400006267208e+20 3.901084204938892083e+19
1.950000000000000000e+01 1.747145165418795172e+20 1.446756130177910374e+20 3.899884066542079181e+19
